title  Photometry data for ATLAS2_551047062 from search centered on HS Hya using the atlas calibration catalog
Median of Right Ascension  156.15356, rms   0.00242
Median of Declination      -19.09218, rms   0.00233
Median of magcal_magdep         8.19, rms      0.28
Median of magcal_local_rms      0.25, rms      0.15
Date	year	magcal_magdep	magcal_local_rms	limiting_mag_local	ra	dec	THETA_J2000	ELLIPTICITY	Plate	versionId	AFLAGS	BFLAGS	NUMBER	quality	timeAccuracy	AFLAGSBits	BFLAGSBits	qualitybits
2416124.829863	1903.025561	 8.28	 0.19	10.67	156.15469	-19.09218	 70.7	0.291	ac03152	190	0	1349451776	3487	384	0.000700		16,17,18,19,21,22,28,30	7,8
2416131.756310	1903.044538	 8.17	 0.22	12.37	156.15340	-19.09303	 20.1	0.137	am01804	193	0	1349453824	370390	256	0.000700		11,16,17,18,19,21,22,28,30	8
2416131.802368	1903.044664	 8.02	 0.18	12.05	156.15442	-19.09354	-39.7	0.274	am01805	193	0	1349453824	468584	256	0.000700		11,16,17,18,19,21,22,28,30	8
2416132.856497	1903.047552	 8.15	 0.40	14.78	156.15268	-19.09184	-82.8	0.276	b31313	184	0	1349454848	118719	576	0.000700		10,11,16,17,18,19,21,22,28,30	6,9
2416133.785484	1903.050097	 8.08	 0.45	 9.45	156.15335	-19.09199	-85.8	0.141	ai00642	200	0	1349453824	123549	256	0.000700		11,16,17,18,19,21,22,28,30	8
2416135.895942	1903.055879	 8.48	 0.56	13.51	156.15314	-19.09217	 84.3	0.276	b31329	184	0	1349454848	991370	576	0.000700		10,11,16,17,18,19,21,22,28,30	6,9
2416151.831288	1903.099538	 8.23	 0.16	12.33	156.15485	-19.09271	 72.4	0.239	am01816	193	0	1349454848	523983	320	0.000700		10,11,16,17,18,19,21,22,28,30	6,8
2416164.769438	1903.134985	 7.99	 0.27	11.30	156.15571	-19.09150	 71.9	0.450	ac03314	190	0	1349451776	96512	384	0.000700		16,17,18,19,21,22,28,30	7,8
2416165.727947	1903.137611	 8.18	 0.27	10.34	156.15358	-19.09375	 81.4	0.200	ai00778	200	128	1479477248	218626	264	0.000700	7	11,16,17,18,19,21,27,28,30	3,8
2416168.735399	1903.145850	 8.15	 0.13	10.46	156.15265	-19.09354	 82.3	0.344	ai00798	183	0	1349453824	269561	256	0.000700		11,16,17,18,19,21,22,28,30	8
2416170.714389	1903.151272	 8.33	 0.29	11.78	156.15388	-19.09191	-71.2	0.233	ac03355	190	67108992	1349386243	153930	385	0.000700	7,26	0,1,17,18,19,21,22,28,30	0,7,8
2416171.774350	1903.154176	 8.14	 0.20	10.65	156.15548	-19.09224	 89.7	0.317	ai00823	200	0	1349453824	485812	256	0.000700		11,16,17,18,19,21,22,28,30	8
2416172.727307	1903.156787	 8.27	 0.40	11.08	156.15582	-19.09275	 70.2	0.432	ac03364	190	276840576	1479149568	18659	264	0.000700	7,14,23,28	11,17,19,21,27,28,30	3,8
2416175.727803	1903.165008	 8.22	 0.25	12.70	156.15431	-19.09201	 48.0	0.203	ac03380	190	0	1349452800	154062	448	0.000700		10,16,17,18,19,21,22,28,30	6,7,8
2416179.728798	1903.175969	 8.22	 0.18	12.01	156.15443	-19.09263	 72.5	0.341	am01833	193	0	1349451776	880822	384	0.000700		16,17,18,19,21,22,28,30	7,8
