hjd,camera,filter,mag,mag err,flux (mJy),flux err
2458099.78212,bg,V,8.706,0.02,1263.671,23.252
2457854.67088,bh,V,8.456,0.02,1465.33,26.962
2457440.79571,bg,V,8.376,0.02,1711.837,31.498
2457395.75633,bh,V,8.575,0.02,1312.729,24.154
2457378.77558,bh,V,8.533,0.02,1365.408,25.124
2457361.82335,bg,V,8.363,0.02,1733.016,31.887
2457139.5793,be,V,8.566,0.02,1633.712,30.06
2457849.78087,bc,V,8.638,0.02,1378.205,25.359
2457824.63957,bg,V,8.657,0.02,1321.913,24.323
2457806.74973,bg,V,8.648,0.02,1332.493,24.518
2457687.862,bg,V,8.524,0.02,1493.871,27.487
2457423.75506,bh,V,8.912,0.02,963.008,17.719
2457336.84239,bh,V,8.603,0.02,1279.285,23.539
2458071.81031,bg,V,9.06,0.02,911.937,16.78
2457779.02423,bd,V,8.538,0.02,1684.016,30.986
2457717.79294,bg,V,8.589,0.02,1406.677,25.883
2457567.50934,bh,V,8.548,0.02,1346.657,24.778
2457481.70752,bh,V,8.592,0.02,1292.2,23.776
2457405.65479,bh,V,8.602,0.02,1280.611,23.563
2457136.59087,bf,V,8.534,0.02,1456.257,26.795
2457078.69655,bf,V,8.525,0.02,1468.069,27.012
2456976.81767,bf,V,8.642,0.02,1317.748,24.247
2456700.8666,bd,V,8.813,0.02,1307.525,24.058
2458070.84895,bg,V,8.837,0.02,1119.916,20.606
2457803.64581,bh,V,8.617,0.02,1263.857,23.255
2457398.83375,bg,V,8.297,0.02,1840.742,33.87
2457334.85668,bh,V,8.558,0.02,1333.63,24.539
2457065.63754,bf,V,8.837,0.02,1100.962,20.258
2456996.78912,bf,V,8.914,0.02,1025.758,18.874
2456681.91609,bc,V,8.516,0.02,1542.681,28.385
2458122.08489,bd,V,8.731,0.02,1409.223,25.93
2457946.46475,bh,V,8.458,0.02,1462.844,26.916
2457568.50593,bh,V,8.513,0.02,1390.503,25.585
2457475.69077,bh,V,8.61,0.02,1271.514,23.396
2457176.49099,be,V,8.577,0.02,1616.596,29.745
2457079.68171,be,V,8.569,0.02,1628.459,29.964
2457064.85147,be,V,8.643,0.02,1521.626,27.998
2457015.75752,be,V,8.562,0.02,1638.938,30.156
2457845.73241,bh,V,8.439,0.02,1488.184,27.383
2457799.94545,bc,V,8.537,0.02,1512.811,27.836
2457697.83898,bh,V,8.62,0.02,1260.014,23.184
2457387.78692,bg,V,8.299,0.02,1838.213,33.823
2457877.55398,bg,V,8.625,0.02,1360.76,25.038
2457763.02832,bc,V,8.592,0.02,1437.961,26.458
2457397.72263,bh,V,8.581,0.02,1306.204,24.034
2457370.81345,bg,V,8.298,0.02,1838.741,33.833
2457000.77301,be,V,8.548,0.02,1660.177,30.547
2456797.76606,bc,V,8.437,0.02,1659.099,30.527
2456638.00542,bc,V,8.508,0.02,1553.749,28.589
2458153.61339,bg,V,9.03,0.02,937.253,17.245
2458129.06233,bd,V,8.546,0.02,1672.206,30.769
2457439.872,bh,V,8.642,0.02,1234.046,22.706
2457422.81783,bg,V,8.317,0.02,1808.17,33.27
2457036.75413,bf,V,8.907,0.02,1032.281,18.994
2456970.80669,be,V,8.619,0.02,1555.031,28.613
2458157.7368,bg,V,8.635,0.02,1348.985,24.821
2458139.78627,bg,V,8.673,0.02,1301.861,23.954
2457914.56552,bh,V,8.458,0.02,1462.111,26.903
2457332.84769,bg,V,8.354,0.02,1746.683,32.139
2457197.4891,be,V,8.592,0.02,1595.015,29.348
2457191.5144,be,V,8.588,0.02,1600.128,29.442
2457103.8334,bc,V,8.568,0.02,1470.157,27.051
2457070.91885,bc,V,8.538,0.02,1511.549,27.812
2456967.81673,be,V,8.74,0.02,1392.065,25.614
2457911.47539,bg,V,8.634,0.02,1350.374,24.847
2457723.7972,bh,V,8.641,0.02,1236.22,22.746
2456993.13182,bd,V,8.52,0.02,1711.529,31.492
2458091.81088,bg,V,8.671,0.02,1304.222,23.998
